agency_cd,site_no,datetime,tz_cd,229225_00065,229225_00065_cd,241826_00065,241826_00065_cd
USGS,11467270,2022-08-13 11:15,PDT,2.65,A,-0.23,P
USGS,11467270,2022-08-13 11:30,PDT,2.94,A,0.07,P
USGS,11467270,2022-08-13 11:45,PDT,3.23,A,0.36,P
USGS,11467270,2022-08-13 12:00,PDT,3.49,A,0.62,P
USGS,11467270,2022-08-13 12:15,PDT,3.75,A,0.88,P
USGS,11467270,2022-08-13 12:30,PDT,4.01,A,1.14,P
USGS,11467270,2022-08-13 12:45,PDT,4.25,A,1.38,P
USGS,11467270,2022-08-13 13:00,PDT,4.47,A,1.60,P
USGS,11467270,2022-08-13 13:15,PDT,4.65,A,1.78,P
USGS,11467270,2022-08-13 13:30,PDT,4.81,A,1.93,P
USGS,11467270,2022-08-13 13:45,PDT,4.91,A,2.04,P
USGS,11467270,2022-08-13 14:00,PDT,5.00,A,2.13,P
USGS,11467270,2022-08-13 14:15,PDT,5.01,A,2.14,P
USGS,11467270,2022-08-13 14:30,PDT,4.99,A,2.12,P
USGS,11467270,2022-08-13 14:45,PDT,4.90,A,2.03,P
USGS,11467270,2022-08-13 15:00,PDT,4.77,A,1.89,P
USGS,11467270,2022-08-13 15:15,PDT,4.63,A,1.76,P
USGS,11467270,2022-08-13 15:30,PDT,4.50,A,1.63,P
USGS,11467270,2022-08-13 15:45,PDT,4.35,A,1.48,P
USGS,11467270,2022-08-13 16:00,PDT,4.20,A,1.33,P
USGS,11467270,2022-08-13 16:15,PDT,4.03,A,1.16,P
USGS,11467270,2022-08-13 16:30,PDT,3.86,A,0.99,P
USGS,11467270,2022-08-13 16:45,PDT,3.70,A,0.82,P
USGS,11467270,2022-08-13 17:00,PDT,3.54,A,0.67,P
USGS,11467270,2022-08-13 17:15,PDT,3.37,A,0.50,P
USGS,11467270,2022-08-13 17:30,PDT,3.21,A,0.34,P
USGS,11467270,2022-08-13 17:45,PDT,3.05,A,0.18,P
USGS,11467270,2022-08-13 18:00,PDT,2.90,A,0.03,P
USGS,11467270,2022-08-13 18:15,PDT,2.75,A,-0.12,P
USGS,11467270,2022-08-13 18:30,PDT,2.64,A,-0.24,P
USGS,11467270,2022-08-13 18:45,PDT,2.53,A,-0.34,P
USGS,11467270,2022-08-13 19:00,PDT,2.42,A,-0.45,P
USGS,11467270,2022-08-13 19:15,PDT,2.33,A,-0.54,P
USGS,11467270,2022-08-13 19:30,PDT,2.27,A,-0.60,P
USGS,11467270,2022-08-13 19:45,PDT,2.26,A,-0.61,P
USGS,11467270,2022-08-13 20:00,PDT,2.30,A,-0.57,P
USGS,11467270,2022-08-13 20:15,PDT,2.46,A,-0.41,P
USGS,11467270,2022-08-13 20:30,PDT,2.57,A,-0.30,P
USGS,11467270,2022-08-13 20:45,PDT,2.72,A,-0.15,P
USGS,11467270,2022-08-13 21:00,PDT,2.90,A,0.03,P
USGS,11467270,2022-08-13 21:15,PDT,3.09,A,0.22,P
USGS,11467270,2022-08-13 21:30,PDT,3.29,A,0.42,P
USGS,11467270,2022-08-13 21:45,PDT,3.53,A,0.66,P
USGS,11467270,2022-08-13 22:00,PDT,3.75,A,0.87,P
USGS,11467270,2022-08-13 22:15,PDT,3.96,A,1.09,P
USGS,11467270,2022-08-13 22:30,PDT,4.23,A,1.36,P
USGS,11467270,2022-08-13 22:45,PDT,4.49,A,1.62,P
USGS,11467270,2022-08-13 23:00,PDT,4.75,A,1.87,P
USGS,11467270,2022-08-13 23:15,PDT,4.98,A,2.11,P
USGS,11467270,2022-08-13 23:30,PDT,5.22,A,2.35,P
USGS,11467270,2022-08-13 23:45,PDT,5.46,A,2.59,P
USGS,11467270,2022-08-14 00:00,PDT,5.68,A,2.81,P
USGS,11467270,2022-08-14 00:15,PDT,5.88,A,3.01,P
USGS,11467270,2022-08-14 00:30,PDT,6.06,A,3.19,P
USGS,11467270,2022-08-14 00:45,PDT,6.21,A,3.34,P
USGS,11467270,2022-08-14 01:00,PDT,6.26,A,3.39,P
USGS,11467270,2022-08-14 01:15,PDT,6.33,A,3.46,P
USGS,11467270,2022-08-14 01:30,PDT,6.24,A,3.37,P
USGS,11467270,2022-08-14 01:45,PDT,6.16,A,3.29,P
USGS,11467270,2022-08-14 02:00,PDT,6.03,A,3.16,P
USGS,11467270,2022-08-14 02:15,PDT,5.87,A,3.00,P
USGS,11467270,2022-08-14 02:30,PDT,5.68,A,2.81,P
USGS,11467270,2022-08-14 02:45,PDT,5.52,A,2.65,P
USGS,11467270,2022-08-14 03:00,PDT,5.32,A,2.45,P
USGS,11467270,2022-08-14 03:15,PDT,5.10,A,2.23,P
USGS,11467270,2022-08-14 03:30,PDT,4.87,A,2.00,P
USGS,11467270,2022-08-14 03:45,PDT,4.66,A,1.79,P
USGS,11467270,2022-08-14 04:00,PDT,4.43,A,1.56,P
USGS,11467270,2022-08-14 04:15,PDT,4.20,A,1.33,P
USGS,11467270,2022-08-14 04:30,PDT,3.97,A,1.10,P
USGS,11467270,2022-08-14 04:45,PDT,3.75,A,0.87,P
USGS,11467270,2022-08-14 05:00,PDT,3.52,A,0.65,P
USGS,11467270,2022-08-14 05:15,PDT,3.30,A,0.43,P
USGS,11467270,2022-08-14 05:30,PDT,3.10,A,0.23,P
USGS,11467270,2022-08-14 05:45,PDT,2.90,A,0.03,P
USGS,11467270,2022-08-14 06:00,PDT,2.70,A,-0.17,P
USGS,11467270,2022-08-14 06:15,PDT,2.52,A,-0.35,P
USGS,11467270,2022-08-14 06:30,PDT,2.35,A,-0.52,P
USGS,11467270,2022-08-14 06:45,PDT,2.18,A,-0.69,P
USGS,11467270,2022-08-14 07:00,PDT,2.02,A,-0.85,P
USGS,11467270,2022-08-14 07:15,PDT,1.87,A,-1.00,P
USGS,11467270,2022-08-14 07:30,PDT,1.73,A,-1.14,P
USGS,11467270,2022-08-14 07:45,PDT,1.60,A,-1.28,P
USGS,11467270,2022-08-14 08:00,PDT,1.48,A,-1.39,P
USGS,11467270,2022-08-14 08:15,PDT,1.36,A,-1.51,P
USGS,11467270,2022-08-14 08:30,PDT,1.25,A,-1.62,P
USGS,11467270,2022-08-14 08:45,PDT,1.16,A,-1.71,P
USGS,11467270,2022-08-14 09:00,PDT,1.07,A,-1.80,P
USGS,11467270,2022-08-14 09:15,PDT,1.00,A,-1.87,P
USGS,11467270,2022-08-14 09:30,PDT,0.95,A,-1.92,P
USGS,11467270,2022-08-14 09:45,PDT,0.97,A,-1.90,P
USGS,11467270,2022-08-14 10:00,PDT,1.10,A,-1.77,P
USGS,11467270,2022-08-14 10:15,PDT,1.31,A,-1.56,P
USGS,11467270,2022-08-14 10:30,PDT,1.52,A,-1.36,P
USGS,11467270,2022-08-14 10:45,PDT,1.75,A,-1.12,P
USGS,11467270,2022-08-14 11:00,PDT,1.98,A,-0.89,P
USGS,11467270,2022-08-14 11:15,PDT,2.23,A,-0.64,P
USGS,11467270,2022-08-14 11:30,PDT,2.50,A,-0.37,P
USGS,11467270,2022-08-14 11:45,PDT,2.78,A,-0.09,P
USGS,11467270,2022-08-14 12:00,PDT,3.06,A,0.19,P
USGS,11467270,2022-08-14 12:15,PDT,3.35,A,0.48,P
USGS,11467270,2022-08-14 12:30,PDT,3.63,A,0.76,P
USGS,11467270,2022-08-14 12:45,PDT,3.89,A,1.02,P
USGS,11467270,2022-08-14 13:00,PDT,4.18,A,1.31,P
USGS,11467270,2022-08-14 13:15,PDT,4.43,A,1.56,P
USGS,11467270,2022-08-14 13:30,PDT,4.65,A,1.78,P
USGS,11467270,2022-08-14 13:45,PDT,4.85,A,1.98,P
USGS,11467270,2022-08-14 14:00,PDT,5.03,A,2.16,P
USGS,11467270,2022-08-14 14:15,PDT,5.17,A,2.30,P
USGS,11467270,2022-08-14 14:30,PDT,5.27,A,2.40,P
USGS,11467270,2022-08-14 14:45,PDT,5.34,A,2.47,P
USGS,11467270,2022-08-14 15:00,PDT,5.32,A,2.45,P
USGS,11467270,2022-08-14 15:15,PDT,5.18,A,2.31,P
USGS,11467270,2022-08-14 15:30,PDT,5.06,A,2.19,P
USGS,11467270,2022-08-14 15:45,PDT,4.91,A,2.04,P
USGS,11467270,2022-08-14 16:00,PDT,4.77,A,1.89,P
USGS,11467270,2022-08-14 16:15,PDT,4.64,A,1.77,P
USGS,11467270,2022-08-14 16:30,PDT,4.47,A,1.60,P
USGS,11467270,2022-08-14 16:45,PDT,4.31,A,1.44,P
USGS,11467270,2022-08-14 17:00,PDT,4.13,A,1.26,P
USGS,11467270,2022-08-14 17:15,PDT,3.94,A,1.07,P
USGS,11467270,2022-08-14 17:30,PDT,3.76,A,0.89,P
USGS,11467270,2022-08-14 17:45,PDT,3.59,A,0.72,P
USGS,11467270,2022-08-14 18:00,PDT,3.42,A,0.55,P
USGS,11467270,2022-08-14 18:15,PDT,3.24,A,0.37,P
USGS,11467270,2022-08-14 18:30,PDT,3.08,A,0.21,P
USGS,11467270,2022-08-14 18:45,PDT,2.91,A,0.04,P
USGS,11467270,2022-08-14 19:00,PDT,2.77,A,-0.10,P
USGS,11467270,2022-08-14 19:15,PDT,2.64,A,-0.24,P
USGS,11467270,2022-08-14 19:30,PDT,2.51,A,-0.36,P
USGS,11467270,2022-08-14 19:45,PDT,2.40,A,-0.47,P
USGS,11467270,2022-08-14 20:00,PDT,2.29,A,-0.58,P
USGS,11467270,2022-08-14 20:15,PDT,2.20,A,-0.67,P
USGS,11467270,2022-08-14 20:30,PDT,2.16,A,-0.71,P
USGS,11467270,2022-08-14 20:45,PDT,2.14,A,-0.73,P
USGS,11467270,2022-08-14 21:00,PDT,2.17,A,-0.70,P
USGS,11467270,2022-08-14 21:15,PDT,2.30,A,-0.57,P
USGS,11467270,2022-08-14 21:30,PDT,2.44,A,-0.43,P
USGS,11467270,2022-08-14 21:45,PDT,2.57,A,-0.30,P
USGS,11467270,2022-08-14 22:00,PDT,2.74,A,-0.13,P
USGS,11467270,2022-08-14 22:15,PDT,2.90,A,0.03,P
USGS,11467270,2022-08-14 22:30,PDT,3.09,A,0.22,P
USGS,11467270,2022-08-14 22:45,PDT,3.30,A,0.43,P
USGS,11467270,2022-08-14 23:00,PDT,3.51,A,0.64,P
USGS,11467270,2022-08-14 23:15,PDT,3.73,A,0.85,P
USGS,11467270,2022-08-14 23:30,PDT,3.95,A,1.08,P
USGS,11467270,2022-08-14 23:45,PDT,4.19,A,1.32,P
USGS,11467270,2022-08-15 00:00,PDT,4.42,A,1.55,P
USGS,11467270,2022-08-15 00:15,PDT,4.65,A,1.78,P
USGS,11467270,2022-08-15 00:30,PDT,4.85,A,1.98,P
USGS,11467270,2022-08-15 00:45,PDT,5.05,A,2.18,P
USGS,11467270,2022-08-15 01:00,PDT,5.22,A,2.35,P
USGS,11467270,2022-08-15 01:15,PDT,5.41,A,2.54,P
USGS,11467270,2022-08-15 01:30,PDT,5.55,A,2.68,P
USGS,11467270,2022-08-15 01:45,PDT,5.67,A,2.80,P
USGS,11467270,2022-08-15 02:00,PDT,5.73,A,2.86,P
USGS,11467270,2022-08-15 02:15,PDT,5.74,A,2.87,P
USGS,11467270,2022-08-15 02:30,PDT,5.69,A,2.82,P
USGS,11467270,2022-08-15 02:45,PDT,5.58,A,2.71,P
USGS,11467270,2022-08-15 03:00,PDT,5.41,A,2.54,P
USGS,11467270,2022-08-15 03:15,PDT,5.31,A,2.44,P
USGS,11467270,2022-08-15 03:30,PDT,5.13,A,2.26,P
USGS,11467270,2022-08-15 03:45,PDT,4.96,A,2.09,P
USGS,11467270,2022-08-15 04:00,PDT,4.79,A,1.91,P
USGS,11467270,2022-08-15 04:15,PDT,4.59,A,1.72,P
USGS,11467270,2022-08-15 04:30,PDT,4.39,A,1.52,P
USGS,11467270,2022-08-15 04:45,PDT,4.19,A,1.32,P
USGS,11467270,2022-08-15 05:00,PDT,3.98,A,1.11,P
USGS,11467270,2022-08-15 05:15,PDT,3.77,A,0.90,P
USGS,11467270,2022-08-15 05:30,PDT,3.57,A,0.70,P
USGS,11467270,2022-08-15 05:45,PDT,3.37,A,0.50,P
USGS,11467270,2022-08-15 06:00,PDT,3.17,A,0.30,P
USGS,11467270,2022-08-15 06:15,PDT,2.98,A,0.11,P
USGS,11467270,2022-08-15 06:30,PDT,2.79,A,-0.08,P
USGS,11467270,2022-08-15 06:45,PDT,2.62,A,-0.26,P
USGS,11467270,2022-08-15 07:00,PDT,2.45,A,-0.42,P
USGS,11467270,2022-08-15 07:15,PDT,2.28,A,-0.59,P
USGS,11467270,2022-08-15 07:30,PDT,2.13,A,-0.74,P
USGS,11467270,2022-08-15 07:45,PDT,1.98,A,-0.89,P
USGS,11467270,2022-08-15 08:00,PDT,1.84,A,-1.03,P
USGS,11467270,2022-08-15 08:15,PDT,1.71,A,-1.16,P
USGS,11467270,2022-08-15 08:30,PDT,1.59,A,-1.29,P
USGS,11467270,2022-08-15 08:45,PDT,1.48,A,-1.39,P
USGS,11467270,2022-08-15 09:00,PDT,1.38,A,-1.49,P
USGS,11467270,2022-08-15 09:15,PDT,1.30,A,-1.57,P
USGS,11467270,2022-08-15 09:30,PDT,1.22,A,-1.65,P
USGS,11467270,2022-08-15 09:45,PDT,1.19,A,-1.68,P
USGS,11467270,2022-08-15 10:00,PDT,1.20,A,-1.67,P
USGS,11467270,2022-08-15 10:15,PDT,1.29,A,-1.58,P
USGS,11467270,2022-08-15 10:30,PDT,1.47,A,-1.40,P
USGS,11467270,2022-08-15 10:45,PDT,1.64,A,-1.23,P
USGS,11467270,2022-08-15 11:00,PDT,1.85,A,-1.02,P
USGS,11467270,2022-08-15 11:15,PDT,2.04,A,-0.83,P
USGS,11467270,2022-08-15 11:30,PDT,2.27,A,-0.60,P
USGS,11467270,2022-08-15 11:45,PDT,2.52,A,-0.35,P
USGS,11467270,2022-08-15 12:00,PDT,2.77,A,-0.10,P
USGS,11467270,2022-08-15 12:15,PDT,3.03,A,0.16,P
USGS,11467270,2022-08-15 12:30,PDT,3.32,A,0.45,P
USGS,11467270,2022-08-15 12:45,PDT,3.60,A,0.73,P
USGS,11467270,2022-08-15 13:00,PDT,3.86,A,0.99,P
USGS,11467270,2022-08-15 13:15,PDT,4.12,A,1.25,P
USGS,11467270,2022-08-15 13:30,PDT,4.37,A,1.50,P
USGS,11467270,2022-08-15 13:45,PDT,4.62,A,1.75,P
USGS,11467270,2022-08-15 14:00,PDT,4.85,A,1.98,P
USGS,11467270,2022-08-15 14:15,PDT,5.07,A,2.20,P
USGS,11467270,2022-08-15 14:30,PDT,5.25,A,2.38,P
USGS,11467270,2022-08-15 14:45,PDT,5.40,A,2.53,P
USGS,11467270,2022-08-15 15:00,PDT,5.54,A,2.67,P
USGS,11467270,2022-08-15 15:15,PDT,5.59,A,2.72,P
USGS,11467270,2022-08-15 15:30,PDT,5.59,A,2.72,P
USGS,11467270,2022-08-15 15:45,PDT,5.55,A,2.68,P
USGS,11467270,2022-08-15 16:00,PDT,5.40,A,2.53,P
USGS,11467270,2022-08-15 16:15,PDT,5.27,A,2.40,P
USGS,11467270,2022-08-15 16:30,PDT,5.16,A,2.29,P
USGS,11467270,2022-08-15 16:45,PDT,4.98,A,2.11,P
USGS,11467270,2022-08-15 17:00,PDT,4.82,A,1.95,P
USGS,11467270,2022-08-15 17:15,PDT,4.69,A,1.82,P
USGS,11467270,2022-08-15 17:30,PDT,4.53,A,1.66,P
USGS,11467270,2022-08-15 17:45,PDT,4.34,A,1.47,P
USGS,11467270,2022-08-15 18:00,PDT,4.15,A,1.28,P
USGS,11467270,2022-08-15 18:15,PDT,3.98,A,1.11,P
USGS,11467270,2022-08-15 18:30,PDT,3.80,A,0.93,P
USGS,11467270,2022-08-15 18:45,PDT,3.63,A,0.76,P
USGS,11467270,2022-08-15 19:00,PDT,3.46,A,0.59,P
USGS,11467270,2022-08-15 19:15,PDT,3.29,A,0.42,P
USGS,11467270,2022-08-15 19:30,PDT,3.13,A,0.26,P
USGS,11467270,2022-08-15 19:45,PDT,2.97,A,0.10,P
USGS,11467270,2022-08-15 20:00,PDT,2.83,A,-0.04,P
USGS,11467270,2022-08-15 20:15,PDT,2.70,A,-0.17,P
USGS,11467270,2022-08-15 20:30,PDT,2.59,A,-0.29,P
USGS,11467270,2022-08-15 20:45,PDT,2.47,A,-0.40,P
USGS,11467270,2022-08-15 21:00,PDT,2.37,A,-0.50,P
USGS,11467270,2022-08-15 21:15,PDT,2.30,A,-0.57,P
USGS,11467270,2022-08-15 21:30,PDT,2.25,A,-0.62,P
USGS,11467270,2022-08-15 21:45,PDT,2.27,A,-0.60,P
USGS,11467270,2022-08-15 22:00,PDT,2.24,A,-0.63,P
USGS,11467270,2022-08-15 22:15,PDT,2.31,A,-0.56,P
USGS,11467270,2022-08-15 22:30,PDT,2.46,A,-0.41,P
USGS,11467270,2022-08-15 22:45,PDT,2.59,A,-0.29,P
USGS,11467270,2022-08-15 23:00,PDT,2.73,A,-0.14,P
USGS,11467270,2022-08-15 23:15,PDT,2.85,A,-0.02,P
USGS,11467270,2022-08-15 23:30,PDT,3.01,A,0.14,P
USGS,11467270,2022-08-15 23:45,PDT,3.20,A,0.33,P
USGS,11467270,2022-08-16 00:00,PDT,3.38,A,0.51,P
USGS,11467270,2022-08-16 00:15,PDT,3.56,A,0.69,P
USGS,11467270,2022-08-16 00:30,PDT,3.75,A,0.88,P
USGS,11467270,2022-08-16 00:45,PDT,3.94,A,1.07,P
USGS,11467270,2022-08-16 01:00,PDT,4.14,A,1.27,P
USGS,11467270,2022-08-16 01:15,PDT,4.30,A,1.43,P
USGS,11467270,2022-08-16 01:30,PDT,4.48,A,1.61,P
USGS,11467270,2022-08-16 01:45,PDT,4.66,A,1.79,P
USGS,11467270,2022-08-16 02:00,PDT,4.82,A,1.95,P
USGS,11467270,2022-08-16 02:15,PDT,4.94,A,2.07,P
USGS,11467270,2022-08-16 02:30,PDT,5.04,A,2.17,P
USGS,11467270,2022-08-16 02:45,PDT,5.10,A,2.23,P
USGS,11467270,2022-08-16 03:00,PDT,5.17,A,2.30,P
USGS,11467270,2022-08-16 03:15,PDT,5.17,A,2.30,P
USGS,11467270,2022-08-16 03:30,PDT,5.10,A,2.23,P
USGS,11467270,2022-08-16 03:45,PDT,5.01,A,2.14,P
USGS,11467270,2022-08-16 04:00,PDT,4.90,A,2.03,P
USGS,11467270,2022-08-16 04:15,PDT,4.78,A,1.90,P
USGS,11467270,2022-08-16 04:30,PDT,4.64,A,1.77,P
USGS,11467270,2022-08-16 04:45,PDT,4.50,A,1.63,P
USGS,11467270,2022-08-16 05:00,PDT,4.34,A,1.47,P
USGS,11467270,2022-08-16 05:15,PDT,4.17,A,1.30,P
USGS,11467270,2022-08-16 05:30,PDT,4.01,A,1.14,P
USGS,11467270,2022-08-16 05:45,PDT,3.85,A,0.98,P
USGS,11467270,2022-08-16 06:00,PDT,3.68,A,0.80,P
USGS,11467270,2022-08-16 06:15,PDT,3.50,A,0.63,P
USGS,11467270,2022-08-16 06:30,PDT,3.34,A,0.47,P
USGS,11467270,2022-08-16 06:45,PDT,3.17,A,0.30,P
USGS,11467270,2022-08-16 07:00,PDT,3.01,A,0.14,P
USGS,11467270,2022-08-16 07:15,PDT,2.84,A,-0.03,P
USGS,11467270,2022-08-16 07:30,PDT,2.69,A,-0.18,P
USGS,11467270,2022-08-16 07:45,PDT,2.55,A,-0.32,P
USGS,11467270,2022-08-16 08:00,PDT,2.42,A,-0.45,P
USGS,11467270,2022-08-16 08:15,PDT,2.29,A,-0.58,P
USGS,11467270,2022-08-16 08:30,PDT,2.16,A,-0.71,P
USGS,11467270,2022-08-16 08:45,PDT,2.05,A,-0.82,P
USGS,11467270,2022-08-16 09:00,PDT,1.95,A,-0.92,P
